time,event,genre,start_time,day,price,promo,capacity
60.0,0,мультфільм,14,Нд,153,0,120
60.0,0,комедія,20,Сб,136,0,150
60.0,0,мультфільм,22,Пн,102,0,120
60.0,0,мультфільм,10,Ср,99,1,100
60.0,0,драма,10,Пн,150,0,100
60.0,0,жахи,10,Пн,109,1,100
60.0,0,мультфільм,12,Пт,143,0,120
60.0,0,мультфільм,10,Сб,99,1,120
60.0,0,драма,21,Сб,109,0,120
60.0,0,бойовик,18,Нд,109,0,100
60.0,0,комедія,22,Сб,109,1,120
60.0,0,жахи,21,Сб,137,0,150
60.0,0,бойовик,22,Пн,154,0,100
60.0,0,мультфільм,12,Вт,153,0,120
60.0,0,комедія,14,Пт,141,0,120
60.0,0,комедія,21,Сб,104,0,120
60.0,0,бойовик,12,Пн,157,0,100
60.0,0,драма,10,Чт,127,0,120
60.0,0,мультфільм,20,Пт,128,1,150
60.0,0,бойовик,21,Пн,139,0,120
60.0,0,мультфільм,22,Чт,143,0,150
60.0,0,комедія,22,Нд,156,0,150
60.0,0,жахи,10,Пт,130,0,100
60.0,0,жахи,21,Вт,132,0,120
60.0,0,мультфільм,21,Сб,142,1,120
60.0,0,драма,20,Ср,107,1,150
60.0,0,бойовик,21,Сб,111,0,100
60.0,0,драма,21,Ср,133,0,100
46.401456605519535,1,драма,16,Пт,94,0,150
60.0,0,мультфільм,10,Ср,112,0,100
60.0,0,мультфільм,16,Ср,140,0,120
60.0,0,жахи,12,Нд,158,0,100
60.0,0,комедія,10,Вт,126,0,150
60.0,0,комедія,10,Пн,117,0,150
60.0,0,бойовик,20,Ср,120,0,100
60.0,0,драма,18,Сб,137,0,120
60.0,0,драма,18,Сб,128,0,100
60.0,0,бойовик,20,Нд,91,0,120
60.0,0,комедія,18,Ср,127,1,120
60.0,0,бойовик,20,Чт,118,0,150
60.0,0,комедія,10,Вт,139,0,100
60.0,0,мультфільм,21,Пт,151,0,100
60.0,0,мультфільм,16,Нд,157,1,120
60.0,0,комедія,12,Сб,132,0,120
60.0,0,мультфільм,21,Пт,115,1,120
60.0,0,мультфільм,20,Ср,121,1,100
60.0,0,комедія,10,Нд,102,0,100
60.0,0,комедія,12,Чт,155,0,150
60.0,0,мультфільм,10,Вт,149,0,100
60.0,0,драма,14,Ср,149,1,100
